NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
A. Rebić,AC Milan,Italian Serie A,LM,Gold,82,95,75,81,91,43,65,19-09-2018 12:10
C. Lenglet,FC Barcelona,Spain Primera Division,CF,Gold,82,63,69,64,62,87,74,19-09-2018 12:10
J. Maddison,Leicester City,English Premier League,CB,Gold,82,84,45,61,65,86,80,19-09-2018 12:10
M. Locatelli,Juventus,Italian Serie A,CM,Gold,82,65,60,84,89,79,66,19-09-2018 12:10
M. Ødegaard,Arsenal,English Premier League,LW,Gold,82,67,74,78,79,83,79,19-09-2018 12:10
Rúben Neves,Wolverhampton Wanderers,English Premier League,LM,Gold,82,85,65,77,81,82,83,19-09-2018 12:10
Diogo Jota,Liverpool,English Premier League,CB,Gold,82,60,57,63,61,86,80,19-09-2018 12:10
J. Gomez,Liverpool,English Premier League,CB,Gold,82,76,55,78,74,87,77,19-09-2018 12:10
Fabián,Napoli,Italian Serie A,CM,Gold,82,73,74,84,89,67,63,19-09-2018 12:10
C. Pulisic,Chelsea,English Premier League,CDM,Gold,82,94,82,70,84,37,69,19-09-2018 12:10
Palhinha,Sporting CP,Portuguese Liga ZON SAGRES,LB,Gold,82,81,86,77,86,35,65,19-09-2018 12:10
D. Upamecano,FC Bayern München,German 1. Bundesliga,CB,Gold,82,68,49,60,69,88,76,19-09-2018 12:10
Mario Hermoso,Atlético de Madrid,Spain Primera Division,CB,Gold,82,78,76,82,88,30,57,19-09-2018 12:10
L. Bailey,Aston Villa,English Premier League,CM,Gold,82,68,51,57,62,85,81,19-09-2018 12:10
B. Chilwell,Chelsea,English Premier League,ST,Gold,82,80,75,78,90,41,59,19-09-2018 12:10
Raphaelinho Anjos,RB Bragantino,Campeonato Brasileiro Série A,RW,Gold,82,62,57,72,66,88,78,19-09-2018 12:10
Josué Chiamulera,Grêmio,Campeonato Brasileiro Série A,CB,Gold,82,79,82,81,89,33,79,19-09-2018 12:10
Unai Simón,Athletic Club de Bilbao,Spain Primera Division,LM,Gold,82,57,76,80,78,81,83,19-09-2018 12:10
Richarlison,Everton,English Premier League,CB,Gold,82,70,77,79,82,78,76,19-09-2018 12:10
C. Romero,Tottenham Hotspur,English Premier League,LM,Gold,82,67,84,69,78,43,74,19-09-2018 12:10
D. Dumfries,Inter,Italian Serie A,CB,Gold,82,72,41,57,62,87,82,19-09-2018 12:10
Raphinha,Leeds United,English Premier League,CAM,Gold,82,84,80,84,85,60,64,19-09-2018 12:10
A. Isak,Real Sociedad,Spain Primera Division,CM,Gold,82,84,43,56,56,85,85,19-09-2018 12:10
D. Rice,West Ham United,English Premier League,CM,Gold,82,84,76,84,83,42,74,19-09-2018 12:10
A. Davies,FC Bayern München,German 1. Bundesliga,ST,Gold,82,83,81,84,84,71,83,19-09-2018 12:10
F. Neuhaus,Borussia Mönchengladbach,German 1. Bundesliga,CB,Gold,82,72,80,86,82,44,66,19-09-2018 12:10
Y. En-Nesyri,Sevilla FC,Spain Primera Division,CAM,Gold,82,86,64,80,82,70,80,19-09-2018 12:10
T. Ndombele,Tottenham Hotspur,English Premier League,CB,Gold,82,90,85,82,91,40,63,19-09-2018 12:10
T. Souček,West Ham United,English Premier League,CAM,Gold,82,80,73,80,78,86,83,19-09-2018 12:10
Éder Militão,Real Madrid CF,Spain Primera Division,CM,Gold,82,88,80,79,92,37,59,19-09-2018 12:10
Ferran Torres,Manchester City,English Premier League,CAM,Gold,82,76,85,84,80,33,61,19-09-2018 12:10
Pau Torres,Villarreal CF,Spain Primera Division,RM,Gold,82,87,74,84,89,35,63,19-09-2018 12:10
D. Livaković,Dinamo Zagreb,Croatian Prva HNL,CF,Gold,82,93,84,72,84,49,68,19-09-2018 12:10
Dani Olmo,RB Leipzig,German 1. Bundesliga,LB,Gold,82,86,84,85,87,37,63,19-09-2018 12:10
Joaquín,Real Betis Balompié,Spain Primera Division,RM,Gold,81,84,48,65,70,84,83,19-09-2018 12:10
B. Yılmaz,LOSC Lille,French Ligue 1,CF,Gold,81,78,78,87,85,45,65,19-09-2018 12:10
Nani,Orlando City Soccer Club,USA Major League Soccer,CF,Gold,81,86,86,70,84,37,70,19-09-2018 12:10
A. Gignac,Tigres U.A.N.L.,Mexican Liga MX,ST,Gold,81,83,82,75,84,79,78,19-09-2018 12:10
H. Herrera,Atlético de Madrid,Spain Primera Division,ST,Gold,81,73,66,76,74,90,88,19-09-2018 12:10
A. Consigli,U.S. Sassuolo Calcio,Italian Serie A,CAM,Gold,81,75,83,64,76,49,87,19-09-2018 12:10
S. Mandanda,Olympique de Marseille,French Ligue 1,CB,Gold,81,81,84,83,85,43,60,19-09-2018 12:10
G. Higuaín,Inter Miami CF,USA Major League Soccer,CAM,Gold,81,93,73,76,87,47,56,19-09-2018 12:10
José Fonte,LOSC Lille,French Ligue 1,ST,Gold,81,69,75,88,82,69,78,19-09-2018 12:10
J. Vertonghen,SL Benfica,Portuguese Liga ZON SAGRES,CAM,Gold,81,82,73,80,80,81,75,19-09-2018 12:10
Lucas Leiva,Lazio,Italian Serie A,CM,Gold,81,85,79,81,90,37,59,19-09-2018 12:10
Adán,Sporting CP,Portuguese Liga ZON SAGRES,ST,Gold,81,75,62,78,79,81,79,19-09-2018 12:10
I. Perišić,Inter,Italian Serie A,LW,Gold,81,71,60,67,70,85,84,19-09-2018 12:10
A. Vidal,Inter,Italian Serie A,RW,Gold,81,73,68,83,82,77,73,19-09-2018 12:10
M. Kruse,1. FC Union Berlin,German 1. Bundesliga,LM,Gold,81,83,18,42,62,86,82,19-09-2018 12:10
M. Arnautović,Bologna,Italian Serie A,LB,Gold,81,79,85,81,88,32,62,19-09-2018 12:10
Marlos,Shakhtar Donetsk,Ukrainian Premier League,RW,Gold,81,73,81,77,81,79,84,19-09-2018 12:10
B. André,LOSC Lille,French Ligue 1,LB,Gold,81,59,86,77,79,34,78,19-09-2018 12:10
N. Otamendi,SL Benfica,Portuguese Liga ZON SAGRES,CB,Gold,81,75,79,78,82,83,83,19-09-2018 12:10
T. Delaney,Sevilla FC,Spain Primera Division,RB,Gold,81,69,79,80,82,77,84,19-09-2018 12:10
Aitor,Levante Unión Deportiva,Spain Primera Division,CB,Gold,81,56,54,65,66,85,81,19-09-2018 12:10
A. Delort,OGC Nice,French Ligue 1,RM,Gold,81,78,68,77,79,83,83,19-09-2018 12:10
K. Kampl,RB Leipzig,German 1. Bundesliga,CM,Gold,81,71,69,78,77,84,84,19-09-2018 12:10
D. Ings,Aston Villa,English Premier League,ST,Gold,81,57,80,79,78,84,83,19-09-2018 12:10
Pizzi,SL Benfica,Portuguese Liga ZON SAGRES,CM,Gold,81,85,86,82,86,44,64,19-09-2018 12:10
Jonathan Viera,Unión Deportiva Las Palmas,Spanish Segunda División,CM,Gold,81,66,85,71,75,46,73,19-09-2018 12:10
J. Rodríguez,Everton,English Premier League,CB,Gold,81,90,68,81,84,82,74,19-09-2018 12:10
Danilo,Juventus,Italian Serie A,CDM,Gold,81,52,69,83,74,72,79,19-09-2018 12:10
Sergi Roberto,FC Barcelona,Spain Primera Division,CDM,Gold,81,85,71,83,80,80,77,19-09-2018 12:10
J. Cillessen,Valencia CF,Spain Primera Division,CDM,Gold,81,51,55,79,76,82,84,19-09-2018 12:10
S. Berghuis,Ajax,Holland Eredivisie,LM,Gold,81,72,64,84,82,69,71,19-09-2018 12:10
Paco Alcácer,Villarreal CF,Spain Primera Division,ST,Gold,81,64,86,77,84,38,65,19-09-2018 12:10
Nacho Fernández,Real Madrid CF,Spain Primera Division,RB,Gold,81,83,74,82,88,24,62,19-09-2018 12:10
Danilo Pereira,Paris Saint-Germain,French Ligue 1,CDM,Gold,81,55,74,88,80,60,58,19-09-2018 12:10
Lucas Moura,Tottenham Hotspur,English Premier League,LB,Gold,81,70,78,71,75,66,85,19-09-2018 12:10
A. Marchesín,FC Porto,Portuguese Liga ZON SAGRES,CDM,Gold,81,85,76,82,85,47,66,19-09-2018 12:10
J. Tarkowski,Burnley,English Premier League,CM,Gold,81,81,82,72,84,40,72,19-09-2018 12:10
A. Florenzi,AC Milan,Italian Serie A,ST,Gold,81,90,76,81,88,39,57,19-09-2018 12:10
T. Vaclík,Olympiacos CFP,Greek Super League,RM,Gold,81,76,79,76,81,32,75,19-09-2018 12:10
K. Zouma,West Ham United,English Premier League,CM,Gold,81,68,34,57,65,89,72,19-09-2018 12:10
Iñigo Martínez,Athletic Club de Bilbao,Spain Primera Division,ST,Gold,81,69,51,50,61,84,82,19-09-2018 12:10
W. Orban,RB Leipzig,German 1. Bundesliga,RW,Gold,81,78,72,83,89,46,58,19-09-2018 12:10
A. Milik,Olympique de Marseille,French Ligue 1,ST,Gold,81,61,71,80,79,70,72,19-09-2018 12:10
J. Ward-Prowse,Southampton,English Premier League,CF,Gold,81,88,77,80,86,49,62,19-09-2018 12:10
A. Cragno,Cagliari,Italian Serie A,ST,Gold,81,68,45,51,53,86,82,19-09-2018 12:10
E. Višća,İstanbul Başakşehir FK,Turkish Süper Lig,CB,Gold,81,90,63,75,77,81,80,19-09-2018 12:10
M. Arnold,VfL Wolfsburg,German 1. Bundesliga,CB,Gold,81,72,70,77,87,78,82,19-09-2018 12:10
L. Paredes,Paris Saint-Germain,French Ligue 1,RW,Gold,81,91,74,77,87,66,69,19-09-2018 12:10
A. Januzaj,Real Sociedad,Spain Primera Division,CM,Gold,81,82,78,79,85,52,69,19-09-2018 12:10
E. Forsberg,RB Leipzig,German 1. Bundesliga,RW,Gold,81,68,74,83,84,69,70,19-09-2018 12:10
A. Belotti,Torino F.C.,Italian Serie A,CB,Gold,81,75,38,69,68,85,76,19-09-2018 12:10
Lucas Vázquez,Real Madrid CF,Spain Primera Division,CB,Gold,81,76,45,55,67,84,82,19-09-2018 12:10
Fred,Manchester United,English Premier League,RB,Gold,81,51,55,70,65,86,83,19-09-2018 12:10
A. Rabiot,Juventus,Italian Serie A,CM,Gold,81,86,85,76,85,42,68,19-09-2018 12:10
Rui Silva,Real Betis Balompié,Spain Primera Division,RM,Gold,81,73,77,85,85,38,68,19-09-2018 12:10
P. Zieliński,Napoli,Italian Serie A,CAM,Gold,81,88,78,75,83,47,65,19-09-2018 12:10
Otávio,FC Porto,Portuguese Liga ZON SAGRES,CM,Gold,81,67,41,52,50,83,82,19-09-2018 12:10
D. Machís,Granada CF,Spain Primera Division,CB,Gold,81,90,81,73,82,44,71,19-09-2018 12:10
A. Martial,Manchester United,English Premier League,CB,Gold,81,83,80,81,84,42,69,19-09-2018 12:10
O. Vlachodimos,SL Benfica,Portuguese Liga ZON SAGRES,CDM,Gold,81,78,63,81,77,80,71,19-09-2018 12:10
J. Brandt,Borussia Dortmund,German 1. Bundesliga,LM,Gold,81,68,41,60,67,86,76,19-09-2018 12:10
J. Musso,Atalanta,Italian Serie A,CAM,Gold,81,75,81,78,82,65,78,19-09-2018 12:10
J. Correa,Inter,Italian Serie A,RW,Gold,81,82,45,73,79,82,78,19-09-2018 12:10
Iñaki Williams,Athletic Club de Bilbao,Spain Primera Division,CB,Gold,81,76,84,82,85,44,75,19-09-2018 12:10
M. Politano,Napoli,Italian Serie A,ST,Gold,81,78,85,66,83,36,69,19-09-2018 12:10
Morales,Levante Unión Deportiva,Spain Primera Division,RM,Gold,81,94,80,76,85,42,69,19-09-2018 12:10
D. Djené,Getafe CF,Spain Primera Division,RB,Gold,81,82,78,79,84,46,75,19-09-2018 12:10
H. Hateboer,Atalanta,Italian Serie A,CB,Gold,81,78,80,84,83,62,72,19-09-2018 12:10
M. Dúbravka,Newcastle United,English Premier League,CAM,Gold,81,90,83,78,83,32,67,19-09-2018 12:10
D. van de Beek,Manchester United,English Premier League,RB,Gold,81,64,41,58,60,83,85,19-09-2018 12:10
D. Calvert-Lewin,Everton,English Premier League,RM,Gold,81,66,64,70,74,82,86,19-09-2018 12:10
H. Lozano,Napoli,Italian Serie A,ST,Gold,81,77,76,82,81,64,69,19-09-2018 12:10
David Soria,Getafe CF,Spain Primera Division,RW,Gold,81,52,83,57,66,45,83,19-09-2018 12:10
K. Phillips,Leeds United,English Premier League,CAM,Gold,81,85,76,83,85,59,67,19-09-2018 12:10
Gonçalo Guedes,Valencia CF,Spain Primera Division,CAM,Gold,81,83,74,80,81,77,76,19-09-2018 12:10
K. Laimer,RB Leipzig,German 1. Bundesliga,LM,Gold,81,93,79,67,82,35,67,19-09-2018 12:10
N. Pépé,Arsenal,English Premier League,CB,Gold,81,89,81,73,86,42,72,19-09-2018 12:10
N. Mukiele,RB Leipzig,German 1. Bundesliga,CDM,Gold,81,79,81,66,78,45,69,19-09-2018 12:10
G. Lo Celso,Tottenham Hotspur,English Premier League,CM,Gold,81,84,79,81,85,27,64,19-09-2018 12:10
Álex Remiro,Real Sociedad,Spain Primera Division,ST,Gold,81,65,50,67,62,85,76,19-09-2018 12:10
Yeray,Athletic Club de Bilbao,Spain Primera Division,LM,Gold,81,67,66,76,78,82,75,19-09-2018 12:10
L. Pellegrini,Roma,Italian Serie A,CM,Gold,81,77,80,82,86,55,64,19-09-2018 12:10
Juiano Mestres,Clube Atlético Mineiro,Campeonato Brasileiro Série A,ST,Gold,81,64,60,71,70,82,83,19-09-2018 12:10
Adryan Zonta,RB Bragantino,Campeonato Brasileiro Série A,LW,Gold,81,68,73,78,87,64,68,19-09-2018 12:10
Rosberto Dourado,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,ST,Gold,81,81,75,82,82,46,67,19-09-2018 12:10
Louri Beretta,RB Bragantino,Campeonato Brasileiro Série A,RW,Gold,81,65,63,73,70,85,80,19-09-2018 12:10
Welington Dano,Clube Atlético Mineiro,Campeonato Brasileiro Série A,CB,Gold,81,70,74,81,81,70,69,19-09-2018 12:10
Oswaldinato,Flamengo,Campeonato Brasileiro Série A,CDM,Gold,81,64,83,66,77,40,80,19-09-2018 12:10
R. Malinovskyi,Atalanta,Italian Serie A,CM,Gold,81,71,27,58,59,83,81,19-09-2018 12:10
C. Nkunku,RB Leipzig,German 1. Bundesliga,CDM,Gold,81,58,35,54,58,84,74,19-09-2018 12:10
Lucas Paquetá,Olympique Lyonnais,French Ligue 1,CM,Gold,81,70,77,79,78,76,81,19-09-2018 12:10
Carlos Soler,Valencia CF,Spain Primera Division,RW,Gold,81,79,69,82,86,69,72,19-09-2018 12:10
H. Barnes,Leicester City,English Premier League,CDM,Gold,81,51,32,44,54,83,84,19-09-2018 12:10
H. Aouar,Olympique Lyonnais,French Ligue 1,CM,Gold,81,66,72,81,77,79,80,19-09-2018 12:10
M. Lazzari,Lazio,Italian Serie A,ST,Gold,81,85,76,83,85,59,67,19-09-2018 12:10
R. James,Chelsea,English Premier League,CB,Gold,81,61,65,73,71,82,77,19-09-2018 12:10
Cucurella,Brighton and Hove Albion,English Premier League,CB,Gold,81,94,76,75,85,25,60,19-09-2018 12:10
Pedro Gonçalves,Sporting CP,Portuguese Liga ZON SAGRES,CM,Gold,81,77,39,67,68,82,83,19-09-2018 12:10
M. Diaby,Bayer 04 Leverkusen,German 1. Bundesliga,CM,Gold,81,74,74,79,80,77,79,19-09-2018 12:10
Reguilón,Tottenham Hotspur,English Premier League,ST,Gold,81,68,69,78,86,54,49,19-09-2018 12:10
E. Tapsoba,Bayer 04 Leverkusen,German 1. Bundesliga,CB,Gold,81,86,75,81,83,43,52,19-09-2018 12:10
D. Kulusevski,Juventus,Italian Serie A,CM,Gold,81,67,82,64,75,50,81,19-09-2018 12:10
Renan Lodi,Atlético de Madrid,Spain Primera Division,LM,Gold,81,82,79,71,79,31,71,19-09-2018 12:10
Pedri,FC Barcelona,Spain Primera Division,CB,Gold,81,79,84,73,79,24,77,19-09-2018 12:10
G. Buffon,Parma,Italian Serie B,LM,Gold,80,66,70,86,83,69,68,19-09-2018 12:10
G. Ochoa,Club América,Mexican Liga MX,CB,Gold,80,86,80,72,86,39,73,19-09-2018 12:10
I. Akinfeev,PFC CSKA Moscow,Russian Premier League,CM,Gold,80,83,74,80,81,77,76,19-09-2018 12:10
João Moutinho,Wolverhampton Wanderers,English Premier League,CAM,Gold,80,65,76,84,85,37,50,19-09-2018 12:10
J. Evans,Leicester City,English Premier League,RM,Gold,80,88,79,75,86,41,64,19-09-2018 12:10
Raúl García,Athletic Club de Bilbao,Spain Primera Division,ST,Gold,80,74,37,66,65,81,79,19-09-2018 12:10
M. Hamšík,Trabzonspor,Turkish Süper Lig,ST,Gold,80,92,77,77,83,46,74,19-09-2018 12:10
D. Wass,Valencia CF,Spain Primera Division,ST,Gold,80,63,54,63,65,82,83,19-09-2018 12:10
S. Mignolet,Club Brugge KV,Belgian Jupiler Pro League,CAM,Gold,80,76,32,62,62,83,82,19-09-2018 12:10
Marcelo,Real Madrid CF,Spain Primera Division,ST,Gold,80,81,72,80,84,41,56,19-09-2018 12:10
D. Payet,Olympique de Marseille,French Ligue 1,CM,Gold,80,69,73,79,82,70,69,19-09-2018 12:10
M. Benatia,Fatih Karagümrük S.K.,Turkish Süper Lig,RM,Gold,80,73,76,80,81,55,50,19-09-2018 12:10
Nacho Monreal,Real Sociedad,Spain Primera Division,LM,Gold,80,76,82,80,80,59,71,19-09-2018 12:10
R. Nainggolan,Royal Antwerp FC,Belgian Jupiler Pro League,CB,Gold,80,94,69,75,86,47,61,19-09-2018 12:10
D. Godín,Cagliari,Italian Serie A,LM,Gold,80,92,79,75,85,47,65,19-09-2018 12:10
F. Muslera,Galatasaray SK,Turkish Süper Lig,CB,Gold,80,83,76,78,87,48,66,19-09-2018 12:10
A. Ogbonna,West Ham United,English Premier League,CB,Gold,80,84,80,79,87,27,57,19-09-2018 12:10
A. Sánchez,Inter,Italian Serie A,CAM,Gold,80,79,74,77,82,75,71,19-09-2018 12:10
José Callejón,Fiorentina,Italian Serie A,CM,Gold,80,75,73,86,82,57,67,19-09-2018 12:10
A. Ramsey,Juventus,Italian Serie A,CAM,Gold,80,89,79,75,83,47,63,19-09-2018 12:10
Rafael Tolói,Atalanta,Italian Serie A,CAM,Gold,80,54,57,66,68,82,83,19-09-2018 12:10
R. Bürki,Borussia Dortmund,German 1. Bundesliga,RM,Gold,80,58,51,67,67,81,83,19-09-2018 12:10
F. Coquelin,Villarreal CF,Spain Primera Division,LM,Gold,80,71,74,77,79,75,82,19-09-2018 12:10
Guaita,Crystal Palace,English Premier League,RM,Gold,80,68,46,60,61,83,79,19-09-2018 12:10
E. Salvio,Boca Juniors,Argentina Primera División,CF,Gold,80,57,42,54,54,83,82,19-09-2018 12:10
R. Pereyra,Udinese Calcio,Italian Serie A,CM,Gold,80,56,43,52,60,83,86,19-09-2018 12:10
E. Pérez,River Plate,Argentina Primera División,CAM,Gold,80,69,83,74,82,34,68,19-09-2018 12:10
N. Lodeiro,Seattle Sounders FC,USA Major League Soccer,RM,Gold,80,82,47,68,71,80,78,19-09-2018 12:10
G. Krychowiak,,,CDM,Gold,80,47,82,71,74,42,79,19-09-2018 12:10
M. Perin,Juventus,Italian Serie A,CB,Gold,80,83,75,80,85,56,64,19-09-2018 12:10
Sérgio Oliveira,FC Porto,Portuguese Liga ZON SAGRES,CM,Gold,80,76,77,82,83,72,71,19-09-2018 12:10
Bartra,Real Betis Balompié,Spain Primera Division,CB,Gold,80,69,31,63,70,84,72,19-09-2018 12:10
Pablo Sarabia,Sporting CP,Portuguese Liga ZON SAGRES,CB,Gold,80,80,75,82,86,33,54,19-09-2018 12:10
C. Bakambu,Beijing Guoan FC,Chinese Super League,CB,Gold,80,79,66,79,85,63,62,19-09-2018 12:10
C. Aránguiz,Bayer 04 Leverkusen,German 1. Bundesliga,ST,Gold,80,62,57,64,62,81,77,19-09-2018 12:10
João Pedro,Cagliari,Italian Serie A,LB,Gold,80,73,35,59,67,83,78,19-09-2018 12:10
Ismaily,Shakhtar Donetsk,Ukrainian Premier League,ST,Gold,80,69,83,82,82,46,70,19-09-2018 12:10
A. Mandi,Villarreal CF,Spain Primera Division,RM,Gold,80,72,59,70,77,84,79,19-09-2018 12:10
Rafinha,Paris Saint-Germain,French Ligue 1,CM,Gold,80,69,73,83,86,59,67,19-09-2018 12:10
M. Hinteregger,Eintracht Frankfurt,German 1. Bundesliga,CB,Gold,80,74,42,59,66,82,82,19-09-2018 12:10
R. Freuler,Atalanta,Italian Serie A,RW,Gold,80,74,79,65,79,33,71,19-09-2018 12:10
J. Draxler,Paris Saint-Germain,French Ligue 1,CM,Gold,80,79,81,62,77,50,86,19-09-2018 12:10
D. Demme,Napoli,Italian Serie A,CB,Gold,80,78,76,77,75,78,84,19-09-2018 12:10
Š. Vrsaljko,Atlético de Madrid,Spain Primera Division,CDM,Gold,80,35,63,66,65,82,79,19-09-2018 12:10
Pozuelo,Toronto FC,USA Major League Soccer,CB,Gold,80,57,42,64,61,82,82,19-09-2018 12:10
K. Fortounis,Olympiacos CFP,Greek Super League,CF,Gold,80,65,63,81,81,77,71,19-09-2018 12:10
E. Zahavi,PSV,Holland Eredivisie,CDM,Gold,80,59,50,58,58,85,80,19-09-2018 12:10
F. Thauvin,Tigres U.A.N.L.,Mexican Liga MX,CM,Gold,80,78,71,81,84,77,66,19-09-2018 12:10
S. Umtiti,FC Barcelona,Spain Primera Division,CB,Gold,80,79,81,57,77,41,84,19-09-2018 12:10
T. Savanier,Montpellier Hérault SC,French Ligue 1,ST,Gold,80,71,72,79,80,78,76,19-09-2018 12:10
S. Haller,Ajax,Holland Eredivisie,ST,Gold,80,88,79,76,82,36,68,19-09-2018 12:10
Z. Feddal,Sporting CP,Portuguese Liga ZON SAGRES,RB,Gold,80,65,41,62,65,82,75,19-09-2018 12:10
E. Andrada,CF Monterrey,Mexican Liga MX,CB,Gold,80,68,64,73,73,85,79,19-09-2018 12:10
M. Keane,Everton,English Premier League,CB,Gold,80,40,41,54,56,85,83,19-09-2018 12:10
Roger,Levante Unión Deportiva,Spain Primera Division,CDM,Gold,80,76,71,82,81,73,73,19-09-2018 12:10
J. Martínez,Atlanta United,USA Major League Soccer,CB,Gold,80,91,81,72,85,44,67,19-09-2018 12:10
Q. Promes,Spartak Moskva,Russian Premier League,RB,Gold,80,89,75,76,87,36,55,19-09-2018 12:10
G. Laborde,Stade Rennais FC,French Ligue 1,ST,Gold,80,88,81,72,80,35,75,19-09-2018 12:10
Pacheco,Deportivo Alavés,Spain Primera Division,CM,Gold,80,43,58,74,71,75,80,19-09-2018 12:10
Jonny,Wolverhampton Wanderers,English Premier League,LW,Gold,80,60,77,80,82,47,73,19-09-2018 12:10
D. Alli,Tottenham Hotspur,English Premier League,CB,Gold,80,71,70,81,76,81,81,19-09-2018 12:10
T. Strakosha,Lazio,Italian Serie A,RB,Gold,80,59,80,84,79,56,70,19-09-2018 12:10
P. Max,PSV,Holland Eredivisie,CB,Gold,80,66,34,52,66,84,79,19-09-2018 12:10
João Mário,SL Benfica,Portuguese Liga ZON SAGRES,CM,Gold,80,84,77,78,81,76,76,19-09-2018 12:10
A. Christensen,Chelsea,English Premier League,LM,Gold,80,73,77,83,82,41,61,19-09-2018 12:10
F. Armani,River Plate,Argentina Primera División,RW,Gold,80,73,67,81,82,72,68,19-09-2018 12:10
W. Benítez,OGC Nice,French Ligue 1,ST,Gold,80,73,77,85,84,33,60,19-09-2018 12:10
G. Rulli,Villarreal CF,Spain Primera Division,CDM,Gold,80,91,74,73,87,29,72,19-09-2018 12:10
Capa,Athletic Club de Bilbao,Spain Primera Division,CAM,Gold,80,66,70,83,75,77,78,19-09-2018 12:10
G. Di Lorenzo,Napoli,Italian Serie A,LB,Gold,80,75,66,76,81,82,80,19-09-2018 12:10
C. Tolisso,FC Bayern München,German 1. Bundesliga,CAM,Gold,80,76,77,77,83,43,56,19-09-2018 12:10
Embarba,RCD Espanyol de Barcelona,Spain Primera Division,CB,Gold,80,73,49,68,66,83,80,19-09-2018 12:10
J. Denayer,Olympique Lyonnais,French Ligue 1,RB,Gold,80,69,36,69,71,83,78,19-09-2018 12:10
N. Keïta,Liverpool,English Premier League,RM,Gold,80,92,75,78,88,56,60,19-09-2018 12:10
Pau López,Olympique de Marseille,French Ligue 1,CM,Gold,80,75,76,82,79,72,73,19-09-2018 12:10
V. Lindelöf,Manchester United,English Premier League,CF,Gold,80,78,37,63,67,83,74,19-09-2018 12:10
L. Klostermann,RB Leipzig,German 1. Bundesliga,CF,Gold,80,81,78,76,84,56,68,19-09-2018 12:10
Everton,SL Benfica,Portuguese Liga ZON SAGRES,CDM,Gold,80,73,71,81,83,33,65,19-09-2018 12:10
S. Lainer,Borussia Mönchengladbach,German 1. Bundesliga,CM,Gold,80,92,74,75,85,42,59,19-09-2018 12:10
J. Rodríguez,Cruz Azul,Mexican Liga MX,RW,Gold,80,60,53,54,61,81,87,19-09-2018 12:10
L. Torreira,Fiorentina,Italian Serie A,CB,Gold,80,81,77,78,84,30,64,19-09-2018 12:10
Borja Iglesias,Real Betis Balompié,Spain Primera Division,CB,Gold,80,67,76,79,80,67,74,19-09-2018 12:10
Joan Jordán,Sevilla FC,Spain Primera Division,LM,Gold,80,73,73,78,77,80,79,19-09-2018 12:10
J. Bamba,LOSC Lille,French Ligue 1,CM,Gold,80,69,76,76,76,79,80,19-09-2018 12:10
Álex Berenguer,Athletic Club de Bilbao,Spain Primera Division,CB,Gold,80,79,79,77,81,47,81,19-09-2018 12:10
S. Bergwijn,Tottenham Hotspur,English Premier League,CAM,Gold,80,85,67,76,80,79,79,19-09-2018 12:10
K. Tierney,Arsenal,English Premier League,CAM,Gold,80,73,73,76,79,83,88,19-09-2018 12:10
I. Bennacer,AC Milan,Italian Serie A,RM,Gold,80,73,58,71,74,81,73,19-09-2018 12:10
M. Dmitrović,Sevilla FC,Spain Primera Division,CB,Gold,80,62,39,53,64,85,75,19-09-2018 12:10
O. Zinchenko,Manchester City,English Premier League,LM,Gold,80,75,84,71,85,30,71,19-09-2018 12:10
Nélson Semedo,Wolverhampton Wanderers,English Premier League,CM,Gold,80,75,67,74,77,80,82,19-09-2018 12:10
M. Akanji,Borussia Dortmund,German 1. Bundesliga,LM,Gold,80,81,75,81,84,61,69,19-09-2018 12:10
D. Zakaria,Borussia Mönchengladbach,German 1. Bundesliga,LB,Gold,80,47,46,63,69,81,82,19-09-2018 12:10
